session_id,reasoning_type,discovery_rate,total_elements,success_rate,element_diversity,usage_concentration,exploration_breadth,repeat_rate,early_success_rate,late_success_rate,performance_decline,max_success_streak,max_failure_streak,plateau_count,avg_success_streak,avg_failure_streak,novel_combination_rate,adaptation_slope,avg_inventory_growth,inventory_growth_variance,cluster
first-principles-session-1,first-principles,0.3624161073825503,58,0.3624161073825503,5.280061755765035,22.0,1.0,0.0,0.54,0.16,0.38,9,14,8,2.391304347826087,4.130434782608695,0.9733333333333334,-0.004359419206747455,0.3624161073825503,0.23107067249223012,1
first_principles_2024,first-principles,0.3266666666666666,53,0.32666666666666666,5.267967156131372,22.0,0.9933333333333333,0.00666666666666671,0.52,0.1,0.42000000000000004,7,18,7,2.0416666666666665,4.208333333333333,0.9933333333333333,-0.004304169113329424,0.3288590604026846,0.220710778793748,1
first_principles_session_001,first-principles,0.3333333333333333,54,0.3333333333333333,5.341234901872666,9.5,1.0,0.0,0.6,0.16,0.43999999999999995,8,27,6,2.272727272727273,4.545454545454546,0.98,-0.003986280894677845,0.33557046979865773,0.2229629295977659,1
first-principles-alchemy-001,first-principles,0.3666666666666666,60,0.36666666666666664,5.277346645977189,26.0,0.9733333333333334,0.026666666666666616,0.5,0.22,0.28,8,10,6,1.8333333333333333,3.1666666666666665,0.96,-0.0030827950675278945,0.37583892617449666,0.24800684653844418,1
123999,first-principles,0.4093959731543624,67,0.40939597315436244,5.448209921691347,27.0,1.0,0.0,0.54,0.3,0.24000000000000005,8,10,6,2.2142857142857144,3.142857142857143,0.98,-0.0020549298030214094,0.4228187919463087,0.27088869870726545,1
789012,systematic,0.3741496598639456,60,0.3741496598639456,5.344104472381674,25.0,0.9933333333333333,0.00666666666666671,0.6,0.26,0.33999999999999997,7,13,7,2.1481481481481484,3.4074074074074074,0.96,-0.002320770832221216,0.37583892617449666,0.24800684653844418,1
456789,systematic,0.4324324324324324,69,0.43243243243243246,5.468785618715855,23.0,1.0,0.0,0.62,0.4,0.21999999999999997,13,12,4,2.129032258064516,2.7096774193548385,0.9866666666666667,-0.0022073346500827446,0.436241610738255,0.2593576865906942,1
847392,systematic,0.3866666666666666,62,0.38666666666666666,5.2807035304623495,27.0,1.0,0.0,0.62,0.16,0.45999999999999996,10,14,8,2.5217391304347827,4.0,0.9866666666666667,-0.0039974910585597635,0.38926174496644295,0.2377370388721229,1
629481,systematic,0.4475524475524475,69,0.44755244755244755,5.09535720772921,34.0,0.9733333333333334,0.026666666666666616,0.6,0.34,0.25999999999999995,11,9,6,2.4482758620689653,2.7241379310344827,0.92,-0.002064004697592486,0.436241610738255,0.2593576865906942,1
123458,systematic,0.2080536912751678,35,0.2080536912751678,4.687180410242839,6.5,1.0,0.0,0.4,0.14,0.26,8,40,7,1.7777777777777777,6.555555555555555,0.9933333333333333,-0.0023888325415042998,0.2080536912751678,0.164767352821945,0
123468,counterfactual,0.2866666666666667,47,0.2866666666666667,5.161678265948422,10.5,1.0,0.0,0.38,0.08,0.3,8,39,6,2.388888888888889,5.944444444444445,0.9933333333333333,-0.0022278866171995962,0.28859060402684567,0.20530606729426604,0
123467,counterfactual,0.3733333333333333,62,0.37333333333333335,5.138239060815003,34.0,1.0,0.0,0.42,0.46,-0.040000000000000036,10,14,8,2.4347826086956523,4.086956521739131,1.0,0.0015707574867880201,0.38926174496644295,0.2645826764560155,1
