session_id,reasoning_type,early_success_rate,late_success_rate,success_rate_change,early_element_diversity,late_element_diversity,exploration_expansion
123468,Counterfactual,0.37333333333333335,0.2,-0.17333333333333334,30,42,12
123467,Counterfactual,0.37333333333333335,0.37333333333333335,0.0,29,39,10
789312,Counterfactual,0.21333333333333335,0.04,-0.17333333333333334,19,20,1
847293,Counterfactual,0.4375,0.07692307692307693,-0.3605769230769231,26,30,4
123686,Counterfactual,0.3333333333333333,0.28,-0.05333333333333329,26,39,13
789012,Systematic,0.4666666666666667,0.30666666666666664,-0.16000000000000003,31,47,16
456789,Systematic,0.52,0.36,-0.16000000000000003,35,50,15
847392,Systematic,0.5333333333333333,0.24,-0.29333333333333333,35,50,15
629481,Systematic,0.5466666666666666,0.4,-0.1466666666666666,31,40,9
123458,Systematic,0.3333333333333333,0.09333333333333334,-0.24,25,30,5
123556,Abductive,0.5294117647058824,0.2753623188405797,-0.25404944586530265,32,37,5
123656,Abductive,0.34782608695652173,0.37681159420289856,0.02898550724637683,26,38,12
123676,Abductive,0.5652173913043478,0.2571428571428571,-0.30807453416149067,36,42,6
123687,Abductive,0.36,0.06666666666666667,-0.29333333333333333,28,29,1
123000,Abductive,0.5714285714285714,0.38028169014084506,-0.19114688128772633,32,49,17
123450,Heuristic,0.4794520547945205,0.2876712328767123,-0.1917808219178082,35,42,7
562841,Heuristic,0.49333333333333335,0.21333333333333335,-0.28,37,40,3
909090,Heuristic,0.5342465753424658,0.2328767123287671,-0.30136986301369867,33,43,10
567821,Heuristic,0.6212121212121212,0.22727272727272727,-0.3939393939393939,35,47,12
847329,Heuristic,0.56,0.2,-0.36000000000000004,35,43,8
first-principles-session-1,first-principles,0.5466666666666666,0.18666666666666668,-0.36,38,45,7
first_principles_2024,first-principles,0.49333333333333335,0.16,-0.33333333333333337,34,48,14
first_principles_session_001,first-principles,0.49333333333333335,0.17333333333333334,-0.32,34,41,7
first-principles-alchemy-001,first-principles,0.52,0.21333333333333335,-0.30666666666666664,37,43,6
123999,first-principles,0.49333333333333335,0.3333333333333333,-0.16000000000000003,35,51,16
